,맥주정보,검색이름,맥주이름
0,"theprof(3,150)
🇬🇧Nottingham, England
3.3October 7, 2021
Poured salmon pink thin lace. Light grapefruit aroma. Taste is richly citrus. Texture is light fizzy and essentially one note. Refreshing.
CASK
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
1,"mr_h(9,270)
🇬🇧Ayr, Scotland
4.0September 20, 2021
330ml (2.5%) shared with JohnRMurdoch & Stuartyboy at home on 3 Jul 2021, purchased 1 Jun 2021 (bb 15 Dec 2021): fruity, grapefruit aroma, salmon pink, no head, sweet…
Show more
CAN
@ Morrisons Supermarket (Various locations)
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
4
Overall
17",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
2,"labeerinthum(5,570)
🇮🇹Milano, Italy
2.7August 10, 2021
Bottiglia. Il gusto al naso viene attratto da pompelmo e arancia. La finezza olfattiva è normale e il modo in cui permane è apprezzabile. Il manto birroso superiore resiste…
Show more
Aroma
7
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
3,"georgibonchev(195)
3.6August 4, 2021
Sweet and refreshing beer. Orange in colour and quite low in alkochol so it reminds me of some non-alkocholic beverages.
CAN
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
4
Overall
16",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
4,"italianjohn(4,613)
🇺🇸Penndel, United States
3.4June 28, 2021
Pours a cloudy orange with a thin white head …. Aroma of grapefruit, smells sweet, wheat and light malts …. Taste is of sweet grapefruit, tangy and a little tart, wheat and some…
Show more
CAN
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
14",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
5,"redders1974(2,675)
🇬🇧Rossendale, England
3.1June 17, 2021
Can at home dull orange with short lived head nice and refreshing on a hot summers day yhe grapefruit tastes real and gives it a refreshing bitterness
CAN
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
6,"Leighton(30,147)
🇬🇧London, England
3.4June 9, 2021
Can at home in Hackney - picked up from HOTM. Pours unclear grapefruit pink with a small, creamy white topping. Moderately sweet, nice zesty grapefruit character, some…
Show more
CAN
@ House of Trembling Madness
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
7,"DrnkMcDermott(3,685)
🇺🇸Downers Grove, United States
3.2June 7, 2021
12 oz can. In today's humid 90° temps, it goes down very well. Okay, it's more related to a grapefruit soda than a beer, but that's because the light hefe works well here. Malt smell…
Show more
CAN
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
8,"mR_fr0g(23,236)
🇬🇧England
3.5May 27, 2021
Keg at major Tom's social Harrogate. A hazed peachy orange coloured pour with a a halo of peach head. Aroma is light wheat, dusting of white sugars, grapefruit,  zesty. Flavour is…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
9,"MaltyVonHop(701)
3.0May 20, 2021
Schöfferhofer Hefeweizen Grapefruit Bier 2.5%. Orange, citrus aroma, wheat malt, citrus, orange, sweet grapefruit. Pleasant radler/shandy from Frankfurt am Main, Hesse 🇩🇪
CAN
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
10",Schöfferhofer Grapefruit,Schöfferhofer Grapefruit
