,맥주정보,검색이름,맥주이름
0,"ANZUShophunter(2,124)
🇦🇺Brisbane, Australia
3.9June 20, 2021
On tap at The Scratch. Pours near clear reddish orange w/light tan head, dank forest aroma. Taste evokes blood orange, quite a spicy palate, firm balanced bitterness
TAP
@ The Scratch
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",PEEPER B IPA,Bright Leaf Peeper Red IPA
1,"Davros(4,287)
🇦🇺Melbourne, Australia
4.0June 3, 2021
Pours reddish amber with a small head.
Nose shows caramel, bready malt, toasty malt, resinous and piny hops.…
Show more
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
3
Overall
17",PEEPER B IPA,Bright Leaf Peeper Red IPA
2,"Samma(1,000)
🇦🇺Fitzroy, Australia
3.7May 13, 2021
440ml can. Pours deep amber. Pine needles and caramel on nose. I find myself buying (and reviewing) almost every red IPA I see. It's a great style, with a lovely earthiness playing…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",PEEPER B IPA,Bright Leaf Peeper Red IPA
