,맥주정보,검색이름,맥주이름
0,"vladeath(2,484)
🇷🇺Russia
2.7May 19, 2021
Can - Alc 4.2 for OG 9.5%
Straw color with excellent foam.
Nose. Malty with herbaceous floral hops, reminiscent of the…
Show more
CAN
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
4
Overall
8",Stephans Brau Larger,Stephans Bräu Premium Lager
1,"DraftAromas7(227)
🇷🇸Serbia
2.4September 17, 2020
Not that good, not that bad. This is a plain German lager with little to remember.
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager
2,"qt01(499)
🇷🇴Cluj-Napoca, Romania
2.7August 14, 2020
Malty, cereal aroma and a mild bitter, bready, cereal taste. Good beer for the price.
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Stephans Brau Larger,Stephans Bräu Premium Lager
3,"AndreiProdan(220)
🇲🇩Rautel, Moldova
2.0July 31, 2020
Aromă de cereale uşor dulce.Gust amărui de malţ şi carton. Nu merită atenţie.
CAN
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Stephans Brau Larger,Stephans Bräu Premium Lager
4,"GhostS(1,004)
🇲🇩Chisinau, Moldova
2.7June 4, 2020
Aromă - cereale vechi, malț, note uleioase, ușor fân ud și ceva drojdii. Gust ușor dulce (malț), cu puțină amăreală generică pe fundal. Simplă.
CAN
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager
5,"DoctorHU(1,749)
🇺🇦Transcarpathia, Ukraine
2.6January 31, 2020
500 ml can. Poured clear golden brew with white head. The aroma is sweet, cardboard and a little spicy. Taste dusty grainy, cardboard and short bitterish finish.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Stephans Brau Larger,Stephans Bräu Premium Lager
6,"klukas(968)
🇭🇷Rijeka, Croatia
1.8January 30, 2020
Enjoyed: Poured from a can into tulip glass. 
Appearance: Clear/bright golden colour, medium head which soon fades away.…
Show more
CAN
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7
1",Stephans Brau Larger,Stephans Bräu Premium Lager
7,"as1999(433)
🇭🇷Zagreb, Croatia
2.3January 20, 2020
500 ml
Komercijalni lager, nista vise.. bez arome, svijetlije boje, pjena brzo nestaje.. okus previse kiselkast, bez gorcine..
CAN
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
8",Stephans Brau Larger,Stephans Bräu Premium Lager
8,"Bitek(1,291)
🇵🇱Warszawa, Poland
2.6February 4, 2020
Bardzo podobne do pilsa z tej samej kauflanowej serii, może z ciut mniejszą goryczką [archiwum]
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager
9,"aboubakar(17)
🇵🇱Wroclaw, Poland
1.6October 12, 2019
Kolejne piwo spod marki Stephans Bräu. Jest niestety nieciekawe. Kompletnie nic się nie dzieje, pustka w smaku jak i w zapachu, niestety na końcu pozostawia jakiś obrzydliwy…
Show more
CAN
Aroma
4
Appearance
1
Flavor
3
Mouthfeel
2
Overall
6",Stephans Brau Larger,Stephans Bräu Premium Lager
10,"caketm(3,788)
🇵🇱Czestochowa, Poland
1.6September 14, 2019
Puszka 0,5 litra, zakupiona w Kauflandzie. Barwa złota,  Słaby, szmaciany zapach. Poza tym jakby zwietrzały słod. W smaku płaściutkie, słodkie, ze średnią, ale nie przyjemną i zalegając…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
7",Stephans Brau Larger,Stephans Bräu Premium Lager
11,"MichaelAwesome(7,168)
🇩🇪Wanne-Eickel, Germany
1.8May 22, 2019
Selbe Kategorie wie sein Pils. Ein wenig Hopfen und Malz, daneben nur etwas laffes und dünnes, das einfach nur Alkohol in die Blutbahn führen soll.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
3
Overall
6",Stephans Brau Larger,Stephans Bräu Premium Lager
12,"Knopson(261)
🇵🇱Lódz, Poland
1.8March 16, 2019
Aromat słaby, lekko estrowy i słodowy. Smak: woda i trochę słodów, lekka kwiatowość. Wodniste, ale bez większych wad. Bez zalet również :)
CAN
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
1
Overall
7",Stephans Brau Larger,Stephans Bräu Premium Lager
13,"artyom(1,557)
🇭🇷Osijek, Croatia
2.3February 25, 2019
0.5l can. Golden color with white head. Aroma is malty and grassy with light herbal notes. Taste is malty with light bitterness. Overall it's easy drinkable beer, but nothing more…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Stephans Brau Larger,Stephans Bräu Premium Lager
14,"neur0(1,573)
🇩🇪Hannover, Germany
1.9January 22, 2019
(Dose) Es hat eine hellgelbe Farbe, ist leicht trüb, mit einer weißen Schaumkrone. Das Aroma ist süßlich, viel Papparoma und etwas würzig. Der Geschmack hat fast keinen Körper, is…
Show more
CAN
Aroma
4
Appearance
4
Flavor
3
Mouthfeel
2
Overall
6",Stephans Brau Larger,Stephans Bräu Premium Lager
15,"Craftakt(917)
🇩🇪Hannover, Germany
1.4December 24, 2018
Wasser mit ein wenig strohig malziger Störnote. Abgang leicht unpassend herb. Setzt eher negative Maßstäbe.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
5",Stephans Brau Larger,Stephans Bräu Premium Lager
16,"kto(3,050)
🇨🇭Switzerland
2.3December 1, 2018
01.12.2018 -- 0.5l can with some hebrew and russian inscriptions in an adventskalender from marktkauf, 14.06.2018-14.09.2019. made by mammut getränke gmbh i…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager
17,"alex_leit(12,595)
🇧🇾Minsk, Belarus
2.2October 7, 2018
Can 500 ml. Light golden color, white foam. Aroma: grain, light malt, light hops. Taste:a little grain, a little hops, watery, so-so.
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
2
Overall
8",Stephans Brau Larger,Stephans Bräu Premium Lager
18,"Tony_Grayne(648)
🇧🇾Minsk, Belarus
2.8September 3, 2018
500 ml white can at 5.0%. A crystal clear straw golden coloured lager with a 1 finger not that stable white head with some minimal lacing in the glassware. You get this dry…
Show more
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager
19,"vinivini(7,161)
🇧🇾Homiel, Belarus
3.0August 4, 2018
Can at 5.0% ABV. Clear golden brew with tall airy white head. Below average retention. Nose: wort, grains, grassy/herbal hops. Light to medium body. Taste: sweetish clean malts,…
Show more
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
4
Overall
11",Stephans Brau Larger,Stephans Bräu Premium Lager
20,"BreweryTickers18(128)
🇵🇱Poland
1.2June 21, 2018
Lekko śmierdzący Niemiecki lager z posmakiem mokrego kartonu, nie polecam chyba że nie ma nic lepszego.…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
1
Overall
4",Stephans Brau Larger,Stephans Bräu Premium Lager
21,"sharkydodson(4,655)
🇷🇺St. Petersburg, Russia
2.5April 27, 2018
the aroma is malty and herbal with shades of buckwheat, candy, hay and grain... the taste is malty and floral with notes of grain, straw, lollipop and some herbs... bitter, sweet and…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Stephans Brau Larger,Stephans Bräu Premium Lager
22,"bilcho1(1,473)
🇧🇬Ruse, Bulgaria
2.1March 29, 2018
500ml can from Kaufland, drunk at home. Pours clear with a brief frothy head, medium lacing, while the head lasted, a coarse bead. Aroma of bread with metallic and floral hints.…
Show more
Aroma
3
Appearance
4
Flavor
3
Mouthfeel
4
Overall
7",Stephans Brau Larger,Stephans Bräu Premium Lager
23,"z87(3,018)
🇨🇿Frydek-Mistek, Czech Republic
1.7December 1, 2019
Neuvěřitelný marketový patvar, který snad nestojí ani pořádně za větší recenzi...
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Stephans Brau Larger,Stephans Bräu Premium Lager
24,"Beerhunter111(35,051)
🇩🇪Beerland, Germany
1.9February 10, 2018
50cl can from a Kaufland in CZ. A clear pale golden beer with a huge most good lasting white head. Aroma of grainy malt, soft metallic hops, straw. Taste of sharp grainy malt,…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
9",Stephans Brau Larger,Stephans Bräu Premium Lager
25,"DSG(21,908)
🇮🇱Tel Aviv, Israel
1.9October 26, 2017
Can sample at a tasting at Max's place. Thanks Yoav. 5%. Yellow. Graininess, corn, acetaldehyde, sweetish, bitterish finish, light-bodied.
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Stephans Brau Larger,Stephans Bräu Premium Lager
26,"zvikar(11,683)
🇮🇱Ramat Gan, Israel
2.2October 17, 2017
At Max Place, pours yellow with a small head, aroma of corn, malt, flavor is slightly bitter with corn, apples, light bodied
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Stephans Brau Larger,Stephans Bräu Premium Lager
27,"ogivlado(12,325)
🇭🇷Zagreb, Croatia
1.4September 7, 2017
Canned 500ml. -from local Kaufland Karlovac. Pale golden coloured, medium sized white head, no bubbles at all, light cardboard and grain in the nose. Not much to talk about…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Stephans Brau Larger,Stephans Bräu Premium Lager
28,"Marko(11,473)
🇨🇿Prague, Czech Republic
1.4August 14, 2017
Canned from Kaufland Split. Clear yellow-golden with a disappearing white head. Aroma... green apple and glue, acetaldehyde all over the place. Suuure, it’s according to…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
5",Stephans Brau Larger,Stephans Bräu Premium Lager
29,"Hrc_Cro(1,102)
🇭🇷Zagreb, Croatia
2.3May 28, 2017
0.5l can. Clear golden color with acceptable white head. Aroma of malt, grain, corn and bread, but it is all very vague and watery. Taste is sweet and bitter.
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Stephans Brau Larger,Stephans Bräu Premium Lager
30,"MikeBeermaster(1,775)
🇵🇱Poland
1.2May 17, 2017
Stephans Brau Lager from Kaufland. Sweet aroma of caramel, some corn and maltiness. Clear golden in the glass with frothy head. Tastes horrible. Rotten eggs, acidic touch with…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
1
Overall
4",Stephans Brau Larger,Stephans Bräu Premium Lager
31,"nephirem(1,683)
🇭🇷Croatia
1.9January 29, 2017
Can, 0.5l. Clear pale golden pour with one finger soapy white head. Average head retention, minimal to no lacing. Long lasting thin layer on top, though. Faint and undefined nose,…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
10",Stephans Brau Larger,Stephans Bräu Premium Lager
32,"evannell(3,033)
🇵🇱Krakï¿½w, Poland
1.9January 4, 2017
Wygląda, jak należy, pachnie, jak należy. Smakuje również, jak należy. Takie piwne Disco Polo.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
5",Stephans Brau Larger,Stephans Bräu Premium Lager
33,"Koelschtrinker(28,837)
🇩🇪Brewver-Town, Germany
1.8October 22, 2016
Laffer, wässrig-getreidiger Beginn. Trocken im Mittelteil, geringe Karbonisierung, geringe Bitterkeit. Süffiges dumpfes Bier. 10/6/7/5/5/5
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Stephans Brau Larger,Stephans Bräu Premium Lager
