,맥주정보,검색이름,맥주이름
0,"midovark(3,964)
🇭🇺Budapest, Hungary
2.8August 21, 2021
Can from a random kaufland in Germany, courtesy of Petra. I expected a lot worse tbh, this is actually a pretty okay hefeweizen, especially for the price I imagine it cost.
CAN
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
4
Overall
10",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
1,"vladeath(2,484)
🇷🇺Russia
2.5May 16, 2021
Budget Hefeweizen. Banana with cloves is in good shape. Little taste, watery. Not worth your attention.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
2,"Fisler(2,101)
🇩🇪Bamberg, Germany
3.2April 26, 2021
Variante Feldschlösschen (Dresden) von Kaufland Bamberg, 5.4%, blaue Dose. Wenig Perlung, in der Nase Banane, sehr deutlich. Im Trunk setzt sich im Trunk fort, cremig, hefig,…
Show more
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
3,"kRadek(445)
🇵🇱Sosnowiec, Poland
3.6November 30, 2020
Wygląda poprawnie, pomarańczowe, mocno zmętnione, obfita biała piana. W aromacie sporo banana, dalej jasne pieczywo i goździk - absolutnie nie ma się do czego…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
4,"MartinNaxera(679)
🇨🇿Pilsen, Czech Republic
2.9November 12, 2020
An absolutely average hefeweizen. Good for a casual drink with a dinner. Ok one
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
5,"yoxik75(1,006)
🇵🇱Wroclaw, Poland
3.6September 26, 2020
Piana obfita drobne oczka, długo się utrzymuje. Kolor żółty mętny. Aromat słodowy, drożdże przyjemny. Smak słodowy biszkopt, drożdże, przyprawowe, banan goździk, lekka guma…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
15",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
6,"pytrysek(786)
3.8September 23, 2020
0.5 l can. Pours hazy deep golden with medium head. A:milder than usual hefe but really nice, yeasty T: medium carbonation and body, light orange, sweet Wheaty, light…
Show more
CAN
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
14",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
7,"Wendigo(4,017)
🇸🇰Bratislava, Slovakia
2.9August 16, 2020
Can. Malty aroma and taste, light banana and clove, sirupy notes, light sweet, light to medium bitter. Light to medium body, malty bitter sweet finish. Average.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
14",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
8,"GhostS(1,004)
🇲🇩Chisinau, Moldova
2.9June 5, 2020
Bunișoară, dar cam apoasă, cu o aromă industrială de bere cu grâu - malț, puțin banană și fructe galbene răscoapte, ceva drojdii și vag cuișoare; gust ușor și plăcut dulce, vagă…
Show more
CAN
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
9,"Bamsen78(7,448)
🇩🇰Sønderborg, Denmark
2.6May 8, 2020
Can. Pours hazy amber with stable, creamy white head. Clear aroma of malt and banana, with notes of yeast and grainy hints. Sourish, grainy flavour with sweetish notes of yeast…
Show more
CAN
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
11",Stephans Bräu Hefe-Weizen Naturtrüb,Stephans Bräu Hefe-Weizen Naturtrüb
