,맥주정보,검색이름,맥주이름
0,"leszke(87)
Wroclaw
4.5September 5, 2021
w miarę wysoko pijalne, w miarę wysoko sesyjne, pod golonkę jak znalazł. lekka goryczka, wszystko tak jak być powinno
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Gambrinus Original,Gambrinus Originál 10° (Desítka)
1,"bubaclex(3)
4.0July 27, 2021
Can from local store. 
Somewhat fruity upper tones, creamy body. Low, non existent raw cereals, but rich malt flavor. Medium and pleasantly…
Show more
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Gambrinus Original,Gambrinus Originál 10° (Desítka)
2,"giorgiopazzin(117)
🇧🇪Belgium
2.0April 29, 2021
Can tasted

Pourw clear gold with medium foamy white head. Graimy…
Show more
CAN
@ Radegast
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
1
Overall
7",Gambrinus Original,Gambrinus Originál 10° (Desítka)
3,"Dzony95(166)
🇷🇸Belgrade, Serbia
2.4April 19, 2021
0.5 Can from Maxi. Brewed by Plzensky Prazdroj Slovensko in Slovakia.…
Show more
CAN
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
11",Gambrinus Original,Gambrinus Originál 10° (Desítka)
4,"lmojoh(3,605)
🇳🇴Tromsø, Norway
2.3February 27, 2021
Klar gylden med hvitt skum. Aroma malt brød. Smak Malt gress humle korn. Tynn og lett. Flaske smakt Mars -13
BOTTLE
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Gambrinus Original,Gambrinus Originál 10° (Desítka)
5,"czgr(1,454)
🇵🇱Opole, Poland
1.1January 27, 2021
Pite jakiś czas temu. Ocena w celu uzupełnienia profilu. 
https://www.instagram.com/czgr_
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
5",Gambrinus Original,Gambrinus Originál 10° (Desítka)
6,"AndreiProdan(220)
🇲🇩Rautel, Moldova
2.7January 6, 2021
Aromă slabă de ierburi şi hamei. Gust moderat amar de cereale, hamei, frucre uscate.
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Gambrinus Original,Gambrinus Originál 10° (Desítka)
7,"kamilgrzeszczak(398)
🇵🇱Poland
3.1November 24, 2020
03.02.21 Aromat bezwonny lekki słód.
Biała piana klarowne, słomkowe żółte
Nagazowanie średnie,lekkie, orzeźwiające, finisz…
Show more
BOTTLE
Aroma
5
Appearance
5
Flavor
7
Mouthfeel
5
Overall
9",Gambrinus Original,Gambrinus Originál 10° (Desítka)
8,"bilcho1(1,473)
🇧🇬Ruse, Bulgaria
2.5October 4, 2020
500ml bottle, drunk at home on a perfect October evening. Clear gold, some head and a good ring of lacing with fast-rising carbonation that lasted well. Aromas of stale crust…
Show more
BOTTLE
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
3
Overall
10",Gambrinus Original,Gambrinus Originál 10° (Desítka)
9,"DejanSt(1,958)
🇸🇰Trencin, Slovakia
3.3September 17, 2020
V srdcovka urban pube. Capovane z tanku. Vona leziakova. Medova cira farba. Chut jemne horka pomerne prijemna. Na konci neostava.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Gambrinus Original,Gambrinus Originál 10° (Desítka)
