,맥주정보,검색이름,맥주이름
0,"mrf33n3y(145)
🇺🇸United States
2.8August 2, 2021
Old Untappd checkin, January 23, 2017. Brown glass bottle. Light golden color, moderate head, clear appearance. Strong malt and grains aroma. Sweet malt flavor, fairly full-bodied…
Show more
BOTTLE
Aroma
6
Appearance
2
Flavor
6
Mouthfeel
3
Overall
11",OB premier pilsner,OB Premier Pilsner
1,"BlackHaddock(12,196)
🇬🇧The County Time Forgot, England
3.2December 13, 2019
Large bottle at a Korean BBQ joint in Irvine, Orange County California on 11th Dec 2019. Clear and clean golden body, snow white crown that faded swifty (my greasy/fatty mouth…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",OB premier pilsner,OB Premier Pilsner
2,"ccex(1,909)
🇺🇸Lansing, United States
3.0November 24, 2019
640ml bottle from Joong Boo SuperMarket, Chicago.  Pours a clear golden color with modest white head that vanishes quickly with hardly any lacing.  Aroma is that of a German…
Show more
BOTTLE
Aroma
7
Appearance
2
Flavor
6
Mouthfeel
3
Overall
12",OB premier pilsner,OB Premier Pilsner
3,"Chudwick(4,588)
🇺🇸Taylor Mill, United States
3.1August 21, 2019
Had this in a giant bottle at a great Korean restaurant in Columbus.   typical for the style. cool that Korea can make them like this
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",OB premier pilsner,OB Premier Pilsner
4,"saw2k(14)
3.6July 22, 2019
Good standard cheap beer to drink whilst eating Korean food.  A little extra body and flavour than many in the catagory.  Not a craft beer and that isn’t the point.  Clean, easy drinking an…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
8
Mouthfeel
4
Overall
15",OB premier pilsner,OB Premier Pilsner
5,"borre_m(2,473)
🇳🇴Norway
2.1March 17, 2019
Pours clear golden. Aroma is malty, sweet, bread. Taste sweet, malty, bread.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",OB premier pilsner,OB Premier Pilsner
6,"mansquito(12,589)
🇺🇸Nueva York, United States
2.2October 21, 2018
Bottle at a Korean tofu place: pours clear gold with white head. Aroma is grainy for the most part. Taste is sweet and grainy. Less watery than typical Korean lager.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
8",OB premier pilsner,OB Premier Pilsner
7,"Piepenhenrich(2,707)
🇩🇪Steinbach, Germany
1.0September 29, 2018
looks pretty, golden with a nice white head. And that's about it. No aroma. very little taste. Just about acceptable when chilled. Not for me. And please don't call it a Pilsener if it is…
Show more
Aroma
1
Appearance
4
Flavor
2
Mouthfeel
1
Overall
2",OB premier pilsner,OB Premier Pilsner
8,"drfabulous(13,969)
🇺🇸Lexington, United States
2.7June 26, 2018
12 ounce can on plane to Seoul. Bright rusty orange in color with some sweetness and not much taste.
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
3
Overall
13",OB premier pilsner,OB Premier Pilsner
9,"TBone(24,132)
🇫🇮Pori, Finland
1.6June 23, 2018
Can 355ml (Gyeongju, Ratebeer ate my first rating). Clear golden colour, small white head. Grainy, sweetish nose. Light-bodied. Harsh, industrial, watery. Low bitterness.  Neh.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",OB premier pilsner,OB Premier Pilsner
10,"fellebag(1,781)
🇳🇴Oslo, Norway
2.6April 23, 2018
Bottle 33cl. Small white head disappearing. Aroma is dust, leaves, cardboard. Taste is quite sweet
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
12",OB premier pilsner,OB Premier Pilsner
11,"jhsnitz1(1,153)
🇺🇸Pendleton, United States
1.9March 12, 2018
Tastes like a German or other European pilsner.  Kind of dry and slightly bitter hop flavor.  Clear light yellow color with a white foamy head.
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
3
Overall
5",OB premier pilsner,OB Premier Pilsner
12,"Braudog(8,065)
🇺🇸Yorktown, United States
2.0March 12, 2018
Can, aboard a Delta flight from Seoul. German, indeed. Crystal clear and golden. Very light drinker, mellow to its core, with the subtle-ist of Teutonic hop kisses in the finish.…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",OB premier pilsner,OB Premier Pilsner
13,"shawnmurphy(1,756)
🇺🇸Plattsburgh, United States
1.6February 25, 2018
On tap at Turntable Chicken Jazz in New York City. Had a sip of my wife's beer (I ordered something tastier). Pours clear straw with zero head and lacing. Aroma: corn, honey. Flavor:…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
3
Overall
3",OB premier pilsner,OB Premier Pilsner
14,"orda(233)
🇺🇸Aurora, United States
3.5January 29, 2018
Appearance: amber gold; no head
Taste: Miller Lite
1/28/18 SeoCho Garden(Lisle, IL) $4…
Show more
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
4
Overall
6",OB premier pilsner,OB Premier Pilsner
15,"DijkBier(2,120)
🇳🇱AMSTERDAM, Netherlands
2.5January 4, 2018
Bottle at Korean restaurant, pours clear golden with slightly off-white head, lasting well. Aroma is weak, malty. Taste is sweetish for a pilsner. Soft carbonation. Nothing special but…
Show more
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
3
Overall
9",OB premier pilsner,OB Premier Pilsner
16,"rhoihessegold(6,642)
🇩🇪Mainz, Rhineland-Palatinate, Germany
1.7December 30, 2017
29-12-17 // bottle from ""Dae Yang"", Düsseldorf. Sweet malty grainy taste with a mild ""noble"" hop Aroma in the end.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",OB premier pilsner,OB Premier Pilsner
17,"Zlotta(7,426)
🇩🇪Hagen, Germany
2.4November 29, 2017
Sampled from 0.33 l bottle from 'Dae Yang', bottled in July 2017. Clear, golden yellow with a thin, frothy, slowly diminishing, white head. Sweetish, slightly grassy aroma of…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",OB premier pilsner,OB Premier Pilsner
18,"fonefan(68,418)
🇩🇰VestJylland, Denmark
1.7August 17, 2017
Bottle 330ml. @ [ The Stat Improver Tasting ] - Saxo, Højbjerg - Aarhus, Denmark.…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
5",OB premier pilsner,OB Premier Pilsner
19,"Grumbo(13,845)
🇬🇧Ipswich, England
2.1June 17, 2017
Bottle at Højbjerg tasting. Pours golden with a small bubbly white head. Aroma of grain, malt, hop andnvery light fruit. Medium sweetness, light bitterness. Light body, watery…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
3
Overall
6",OB premier pilsner,OB Premier Pilsner
20,"Camons(18,983)
🇩🇰Hasselager, Denmark
2.3June 17, 2017
Bottle @ Johns. Pours yellow with a white head. Aroma of malt, grain, grass. Flavor is sweet, malt, grain, light corn, grass. Medium body, average carbonation, light sweet finish…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",OB premier pilsner,OB Premier Pilsner
21,"chrisv10(23,470)
🇩🇰Denmark
2.1June 17, 2017
Bottle, 5.2%. Clear golden with small white head. Aroma is malt, grainy, corn and a little cardboard. Flavour is malt, grainy, little cardboard, little corn, medium sweet, little thin…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",OB premier pilsner,OB Premier Pilsner
22,"Rasmus40(29,831)
🇩🇰Beder, Aarhus, Denmark
2.2June 17, 2017
Bottle @ Saxo tasting. Clear yellow with a white head. Aroma is sweet, malty, fruity and light hoppy. Flavor is medium sweet and light bitter. Sweet and light bitter finish. 170617
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",OB premier pilsner,OB Premier Pilsner
23,"saxo(25,255)
🇩🇰Over Hornbæk, Randers, Denmark
2.1June 17, 2017
Bottle @ Højbjerg tasting. Nice head with good duration. Color is golden. Aroma and taste are sweet malt and hops. Light bitter finish.
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",OB premier pilsner,OB Premier Pilsner
24,"HenrikSoegaard(18,168)
🇩🇰Randers, Denmark
2.5June 17, 2017
Bottle. Creamy white good mostly lasting head. Yellow colour. Light malty and hoppy aroma. Light bitter flavor. Short light bitter finish. Watery palate.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",OB premier pilsner,OB Premier Pilsner
25,"blipp(13,044)
🇺🇸United States
2.8May 29, 2017
Can. Pours gold with a white head. Clean grainy base, a little bit of bitterness, and a relatively clean finish. Way better than I anticipated.
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",OB premier pilsner,OB Premier Pilsner
26,"BMan1113VR(7,929)
🇺🇸Los Angeles, United States
1.9May 3, 2017
From the can at the KAL Lounge in LAX. No appearence noted. Aromas are sweet and malty. Relatively oxidized (despite a best before of October 2017) with strong DMS.…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",OB premier pilsner,OB Premier Pilsner
