,맥주정보,검색이름,맥주이름
0,"Cimbasso(1,803)
🇬🇧London, England
3.0August 10, 2018
Purchased in a can from a convenience store opposite my hotel in Jeju, Korea.  Hazy pink with a white head. Aroma of wheat beer with notes of cherry. The usual Hoegaarden…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Hoegaarden Cherry,Hoegaarden Cherry
1,"GoufCustom(3,017)
🇭🇰Hong Kong
3.0May 14, 2018
500 ml can bought at YATA in Metro Plaza, Kwai Chung.…
Show more
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Hoegaarden Cherry,Hoegaarden Cherry
2,"BeerMaestro16(1)
4.8May 8, 2018
Wonderful find in Hong Kong mall, really made shopping trip more enjoyable! I love me my cherry:)
Aroma
10
Appearance
5
Flavor
9
Mouthfeel
5
Overall
19",Hoegaarden Cherry,Hoegaarden Cherry
3,"juvedp(76)
🇨🇳China
2.6May 24, 2017
not as good as ordinary hoegaarden. aroma is fruit with some strange thing i don’t know. a little watery. light body, medium carbonate.
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
4
Overall
10",Hoegaarden Cherry,Hoegaarden Cherry
4,"Erzengel(13,551)
🇩🇪Saarland & Düsseldorf, Germany
1.5April 22, 2017
Can in Seoul. Fruity artificial nose. The beer starts neutral artificial with not much depth. The beer is watery with artificial cherry. Bad.
Aroma
2
Appearance
4
Flavor
2
Mouthfeel
4
Overall
3",Hoegaarden Cherry,Hoegaarden Cherry
